Filename,Start,PolyHeader,PolySize,Bytes,,,,,PolyHeader,,ENGISTQCC,,," # print(""bit0-1   | Culling      :["" + str(p_flag_bit0_1) + ""] "" + bit_ppar0_1[(p_flag_bit0_1)])"
model_BAS00_003.bin,13456,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_003.bin,15192,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_003.bin,21752,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_008.bin,656,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_011.bin,7456,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_011.bin,7864,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_016.bin,1376,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_016.bin,1640,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_021.bin,656,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_024.bin,7408,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_024.bin,7816,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_024.bin,17976,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_029.bin,3648,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_029.bin,3912,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_029.bin,4176,f2 00 00 00,5,88,,,,,,,,,,
model_BAS00_003.bin,21144,72 00 00 00,5,112,,,,,,,,,,
model_BAS00_002.bin,1608,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_002.bin,37808,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_002.bin,38096,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_002.bin,38384,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_002.bin,38504,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_003.bin,1392,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_003.bin,25512,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_003.bin,25968,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_008.bin,416,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_008.bin,536,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_011.bin,6592,f2 00 00 00,5,112,,,,,,,,,,
model_BAS00_011.bin,7336,f2 00 00 00,5,112,,,,,,,,,,
